id,name,cvss_rate
10000,Remote Injection,4.7286424000886855
10001,Privilege Traversal,6.052603996039361
10005,Remote Injection,7.789359967921286
10006,SQL Overflow,8.042235951126122
10009,Privilege Execution,8.264215630840459
10011,SQL Disclosure,3.519849473875701
10012,Remote Disclosure,8.254463767247287
10013,Local Overflow,3.4667417192381382
10015,DoS Disclosure,9.093050940482946
10016,CSRF Traversal,4.578240234002286
10017,Remote Disclosure,7.5937095798267595
10018,Privilege Spoofing,8.461752838971613
10019,Local Overflow,6.392442421289616
10022,SQL Traversal,7.207854673340299
10023,Local Spoofing,8.199266558300444
10024,CSRF Escalation,6.727235565280182
10025,CSRF Execution,4.507061052283983
10026,Local Spoofing,4.578488612638769
10027,SQL Overflow,3.67849250889964
10028,DoS Execution,6.183978395010331
10029,SQL Spoofing,7.74950696312512
10030,DoS Disclosure,5.894542422264826
10031,Privilege Overflow,5.174502907007441
10034,XSS Overflow,7.611013638684403
10036,Remote Injection,7.7306288076802625
10037,CSRF Spoofing,5.0143979413559725
10039,Privilege Escalation,4.5423481810951785
10040,XSS Overflow,2.571065998958422
10041,CSRF Execution,7.733139344646492
10042,Privilege Overflow,5.159245633898895
10045,Remote Escalation,7.5662911758578115
10046,SQL Spoofing,3.013042297830058
10047,Remote Injection,7.215686777565084
10049,Privilege Execution,5.020454907432609
10050,Local Traversal,7.638180856615424
10052,SQL Spoofing,8.177905928781017
10054,SQL Execution,5.45488298947398
10055,CSRF Overflow,8.137164931705659
10056,Privilege Injection,6.394493113689567
10059,DoS Disclosure,8.024651128603947
10060,XSS Traversal,5.527120547086209
10062,SQL Overflow,8.526593245104035
10063,XSS Overflow,4.300208842879788
10065,Local Escalation,6.172101101807603
10066,DoS Traversal,8.037821945432542
10067,XSS Overflow,8.031524462663963
10068,Remote Escalation,4.676769259272635
10069,DoS Disclosure,3.4619393034520898
10071,SQL Overflow,8.02551587680176
10072,DoS Overflow,4.326407901209411
10073,DoS Escalation,8.192501018639241
10074,DoS Traversal,5.4836100431511205
10077,Remote Escalation,2.3279479718116116
10078,XSS Escalation,7.588475372209282
10079,Privilege Escalation,3.1566634230638675
10080,CSRF Disclosure,4.603829405893504
10082,Remote Spoofing,4.362831196338028
10084,SQL Traversal,8.681681911910278
10085,Local Disclosure,8.141721373009634
10086,Privilege Traversal,5.667389940615458
10087,Local Execution,9.026730915965931
10088,DoS Traversal,8.2786487814407
10089,Local Execution,7.82777805885331
10090,XSS Escalation,6.854007719609882
10092,SQL Execution,7.332015622504201
10093,DoS Overflow,8.650639270386622
10094,Privilege Disclosure,7.789860377257014
10097,DoS Overflow,5.440105168292908
10098,Remote Escalation,3.2465812004424635
10099,CSRF Spoofing,8.832931040693175
10100,Local Injection,4.342414181270191
10101,SQL Spoofing,4.761076295163911
10102,Remote Disclosure,7.813753645162733
10103,Remote Overflow,5.364396129816908
10105,SQL Disclosure,7.544514477262093
10106,Local Spoofing,5.5348513495420635
10107,Local Traversal,7.952056225888641
10108,Remote Traversal,7.850650569495253
10109,DoS Execution,4.238572281130107
10111,SQL Spoofing,3.6897976839968067
10114,DoS Injection,5.408874355518252
10115,Remote Disclosure,8.343066805779888
10116,Remote Execution,4.164868703751086
10117,SQL Spoofing,5.9876981863715235
10118,Remote Overflow,8.28528892059973
10120,XSS Traversal,8.142489235694322
10121,CSRF Injection,7.494831751767225
10122,SQL Overflow,5.296079716112785
10123,SQL Traversal,8.344420453091402
10124,SQL Traversal,7.638000896472907
10125,Local Disclosure,6.252343270595955
10126,SQL Injection,3.581443529117334
10128,CSRF Disclosure,8.854600815084755
10129,Privilege Overflow,8.275687373584901
10130,CSRF Injection,3.3859651062667124
10131,Local Spoofing,8.698894681957889
10132,CSRF Injection,8.071473208385562
10133,SQL Spoofing,5.244810543856537
10134,Remote Traversal,3.7953335841064932
10135,Local Traversal,7.337814999460287
10136,Local Spoofing,4.297316371735534
10138,Remote Spoofing,6.170766102915389
10139,CSRF Traversal,5.727899542472398
10140,CSRF Escalation,4.2809039597481515
10142,Privilege Traversal,5.74919736197366
10144,SQL Injection,8.99750240480285
10145,CSRF Injection,4.258961902620772
10147,CSRF Escalation,7.052108431294031
10148,Privilege Escalation,7.673002635515254
10149,Local Execution,7.7844883150185495
10150,Local Overflow,7.957393704279388
10152,SQL Injection,8.7474735508806
10153,CSRF Overflow,7.6541122605317184
10157,CSRF Disclosure,6.458174712475929
10158,SQL Escalation,6.247402212738524
10159,Privilege Execution,7.9703510505096045
10160,DoS Escalation,7.837493059864744
10163,XSS Execution,5.333416311862054
10164,Remote Execution,6.00003667998348
10165,Privilege Escalation,5.02600964330763
10166,CSRF Escalation,7.987271841865477
10167,Privilege Disclosure,7.015113301736131
10169,Remote Disclosure,7.483302030527793
10170,SQL Execution,8.439299366449744
10171,Remote Disclosure,8.44150884558218
10172,DoS Overflow,7.930468667231936
10173,DoS Escalation,4.6227054021860186
10175,Remote Injection,5.066407365633409
10176,XSS Execution,5.3635989795409005
10177,Privilege Escalation,6.3972187136334675
10178,SQL Overflow,7.7877115477162695
10180,XSS Escalation,7.443434068203867
10182,XSS Execution,8.227101018070119
10183,Local Spoofing,4.532362430565201
10184,Privilege Traversal,3.9340328487795517
10185,Privilege Injection,4.870829947874378
10187,Local Injection,5.080835121476511
10188,CSRF Disclosure,5.907846872735245
10189,Privilege Execution,7.801997769532338
10190,XSS Escalation,8.988201519161105
10191,DoS Disclosure,8.062750135740606
10192,Local Injection,5.4240427937473745
10194,XSS Injection,6.310599141493057
10195,SQL Overflow,8.247539641335313
10196,XSS Execution,7.764052802299935
10197,Remote Traversal,3.249680406627925
10198,Privilege Spoofing,8.474502908812504
10199,Local Disclosure,8.726784004924415
10200,DoS Execution,7.5721622684315255
10202,Privilege Injection,7.608533646804439
10203,Privilege Disclosure,7.942596690159643
10204,Privilege Disclosure,5.405077402713649
10205,CSRF Disclosure,7.6732311237270405
10206,Remote Traversal,2.8464748887082347
10207,XSS Disclosure,5.874652582523003
10210,Remote Disclosure,4.71093899865221
10211,Local Injection,5.187256575146831
10212,XSS Injection,4.3806149044965945
10213,XSS Escalation,8.878235194282023
10214,Local Escalation,4.238377823690321
10215,XSS Execution,5.067481211120412
10216,SQL Escalation,7.30872102808028
10218,CSRF Overflow,7.413641032488385
10219,Remote Execution,4.564183351231985
10222,SQL Overflow,8.495030869633455
10223,DoS Spoofing,8.048513955299473
10226,XSS Overflow,9.12650374271746
10228,DoS Spoofing,8.673576914684048
10229,SQL Disclosure,4.631734815172289
10232,Remote Traversal,7.723083693879126
10234,Local Execution,7.933960048697793
10235,CSRF Spoofing,7.581933895317154
10236,Privilege Traversal,5.4394044031600925
10237,Remote Disclosure,8.556108642063712
10238,Remote Spoofing,7.4802314100441585
10239,Local Spoofing,4.353832525620722
10240,Local Disclosure,8.26752039154755
10241,Local Execution,8.943928835489013
10242,Local Spoofing,6.160195976007437
10243,XSS Overflow,4.937401394242506
10244,Privilege Disclosure,5.410871872913931
10246,XSS Injection,8.406234671975891
10247,DoS Execution,5.564656726778367
10248,Local Disclosure,7.108741830471766
10249,Privilege Disclosure,7.608798867348666
10250,Privilege Execution,8.060324849005937
10251,XSS Escalation,5.2488767336890545
10252,Remote Disclosure,4.638210133868921
10253,DoS Execution,4.636893234288545
10254,CSRF Traversal,4.10255340331129
10255,Remote Injection,5.91084138021232
10257,DoS Overflow,8.622587652798341
10258,Remote Disclosure,7.967847884892915
10259,CSRF Injection,5.356689204990539
10260,XSS Disclosure,5.206300451960634
10261,XSS Spoofing,7.439749454466118
10264,XSS Escalation,8.623267865789153
10265,Local Disclosure,6.801579600620246
10266,Privilege Spoofing,8.247537875126886
10267,XSS Overflow,4.796730053206197
10268,XSS Traversal,6.631697762820912
10269,XSS Traversal,5.106563613315055
10270,CSRF Injection,5.9424652567838425
10274,DoS Spoofing,4.438046812659678
10275,Local Spoofing,7.865468328665869
10278,Privilege Overflow,5.074941653148001
10281,Privilege Escalation,8.394031901622979
10282,CSRF Escalation,5.3756664995028345
10285,Privilege Execution,6.547787836461723
10286,Local Disclosure,5.278488321975496
10287,SQL Injection,8.132798073064016
10290,Local Overflow,4.301055501390357
